"GEOID10","NAME","TOTAL_POPULATION","HISP_LAT_TOTAL","HISP_LAT_NONHISPANIC_LATINO","HISP_LAT_HISPANIC_LATINO","TOTAL_POP_WHITE","MEDIAN_AGE"
"36005013100","Census Tract 131, Bronx County, New York",5103,5103,1814,3289,975,29.5
"36005013200","Census Tract 132, Bronx County, New York",5890,5890,2879,3011,3624,34.6
"36005013300","Census Tract 133, Bronx County, New York",6384,6384,2692,3692,1222,30
"36005013500","Census Tract 135, Bronx County, New York",3583,3583,1611,1972,530,31.9
"36005013800","Census Tract 138, Bronx County, New York",3042,3042,2216,826,2359,36.7
"36005014100","Census Tract 141, Bronx County, New York",3437,3437,1330,2107,787,27.3
"36005014300","Census Tract 143, Bronx County, New York",1003,1003,565,438,137,44.8
"36005014400","Census Tract 144, Bronx County, New York",5880,5880,2294,3586,1731,30
"36005014500","Census Tract 145, Bronx County, New York",5816,5816,2921,2895,736,29.1
"36005014701","Census Tract 147.01, Bronx County, New York",6461,6461,3153,3308,842,25.4
"36005014702","Census Tract 147.02, Bronx County, New York",5110,5110,2284,2826,597,26.2
"36005014900","Census Tract 149, Bronx County, New York",4591,4591,2000,2591,880,34.8
"36005015100","Census Tract 151, Bronx County, New York",5409,5409,2656,2753,753,29.6
"36005015200","Census Tract 152, Bronx County, New York",2341,2341,1046,1295,1402,26.8
"36005015300","Census Tract 153, Bronx County, New York",4031,4031,2049,1982,588,28.3
"36005015500","Census Tract 155, Bronx County, New York",3005,3005,674,2331,692,31.1
"36005015700","Census Tract 157, Bronx County, New York",3580,3580,1334,2246,677,27.3
"36005015800","Census Tract 158, Bronx County, New York",1206,1206,636,570,783,31.9
"36005015900","Census Tract 159, Bronx County, New York",2164,2164,245,1919,674,27.2
"36005016000","Census Tract 160, Bronx County, New York",3767,3767,2799,968,3028,37.3
"36005016100","Census Tract 161, Bronx County, New York",4380,4380,1564,2816,940,34
"36005016200","Census Tract 162, Bronx County, New York",1769,1769,1118,651,1308,33.5
"36005016300","Census Tract 163, Bronx County, New York",0,0,0,0,0,0
"36005016400","Census Tract 164, Bronx County, New York",1141,1141,704,437,806,27.5
"36005016500","Census Tract 165, Bronx County, New York",1077,1077,497,580,152,31
"36005016600","Census Tract 166, Bronx County, New York",2166,2166,1082,1084,1276,35.3
"36005016700","Census Tract 167, Bronx County, New York",2047,2047,1043,1004,259,28.5
"36005016900","Census Tract 169, Bronx County, New York",1663,1663,913,750,215,30.2
"36005017100","Census Tract 171, Bronx County, New York",0,0,0,0,0,0
"36005017300","Census Tract 173, Bronx County, New York",5987,5987,2356,3631,989,30.1
"36005017500","Census Tract 175, Bronx County, New York",6911,6911,2999,3912,991,30.2
"36005017701","Census Tract 177.01, Bronx County, New York",4294,4294,1945,2349,750,34.1
"36005017702","Census Tract 177.02, Bronx County, New York",4805,4805,2198,2607,640,31
"36005017901","Census Tract 179.01, Bronx County, New York",4677,4677,1319,3358,787,33.2
"36005017902","Census Tract 179.02, Bronx County, New York",3587,3587,1429,2158,556,28.9
"36005018101","Census Tract 181.01, Bronx County, New York",3300,3300,1563,1737,385,32.2
"36005018102","Census Tract 181.02, Bronx County, New York",5555,5555,2604,2951,787,35
"36005018301","Census Tract 183.01, Bronx County, New York",4525,4525,1963,2562,888,47.8
"36005018302","Census Tract 183.02, Bronx County, New York",3647,3647,1584,2063,623,34.6
"36005018400","Census Tract 184, Bronx County, New York",3855,3855,2598,1257,2926,29.8
"36005018500","Census Tract 185, Bronx County, New York",7466,7466,3186,4280,1197,29.4
"36005018900","Census Tract 189, Bronx County, New York",7752,7752,2688,5064,1334,32.4
"36005019300","Census Tract 193, Bronx County, New York",5461,5461,1924,3537,957,33.1
"36005019400","Census Tract 194, Bronx County, New York",1903,1903,819,1084,935,27.4
"36005019500","Census Tract 195, Bronx County, New York",7756,7756,2710,5046,1373,33.3
"36005019700","Census Tract 197, Bronx County, New York",7501,7501,2216,5285,1674,32.1
"36005019900","Census Tract 199, Bronx County, New York",8154,8154,2627,5527,1493,32
"36005020000","Census Tract 200, Bronx County, New York",4878,4878,2250,2628,1200,27.9
"36005020100","Census Tract 201, Bronx County, New York",4013,4013,1540,2473,686,32.2
"36005020200","Census Tract 202, Bronx County, New York",2155,2155,854,1301,747,30.9
"36005020400","Census Tract 204, Bronx County, New York",2976,2976,1076,1900,853,30.3
"36005020501","Census Tract 205.01, Bronx County, New York",6996,6996,2808,4188,1080,33.9
"36005020502","Census Tract 205.02, Bronx County, New York",1764,1764,609,1155,279,37.9
"36005020601","Census Tract 206.01, Bronx County, New York",3050,3050,1324,1726,911,39.2
"36005020900","Census Tract 209, Bronx County, New York",4361,4361,1566,2795,721,34.9
"36005021001","Census Tract 210.01, Bronx County, New York",8521,8521,5291,3230,1534,38.4
"36005021002","Census Tract 210.02, Bronx County, New York",6839,6839,4542,2297,1029,39.8
